row_id,task,label,variety_name,source_name,text,text_norm
6513,sentiment,1,en-UK,Google,This free museum has an eclectic mix of exhibits that explore the history of Chester and the surrounding area.,This free museum has an eclectic mix of exhibits that explore the history of Chester and the surrounding area.
2900,sentiment,1,en-IN,Google,Ambience is good. Nicely decorated. Comfortable seating. We had a great time. The food was good. The quantity they gave you can easily share it with another person and behaviour of their staffs were also good.,Ambience is good. Nicely decorated. Comfortable seating. We had a great time. The food was good. The quantity they gave you can easily share it with another person and behaviour of their staffs were also good.
6080,sentiment,1,en-UK,Google,We've just moved to the area and this is now our local-came in around lunchtime on Saturday. Was quiet but great vibes and friendly staff. Steak ciabatta was a bit cold when it arrived but the chips were divine! We'll be back.,We've just moved to the area and this is now our local-came in around lunchtime on Saturday. Was quiet but great vibes and friendly staff. Steak ciabatta was a bit cold when it arrived but the chips were divine! We'll be back.
2994,sentiment,1,en-IN,Google,"The ambience is very clean & divine with idols of Lords Jagannath, Balabhadra & Subhadra ji, & paintings of RadheKrishna ji, scent of Chandan, & godly music & stuffs. The staffs are caring, the food is light & tasty( veg & without onion, garlic) & one gets the order delivered just in 5 min. A peaceful & soothing atmosphere it is.","The ambience is very clean & divine with idols of Lords Jagannath, Balabhadra & Subhadra ji, & paintings of RadheKrishna ji, scent of Chandan, & godly music & stuffs. The staffs are caring, the food is light & tasty( veg & without onion, garlic) & one gets the order delivered just in <num> min. A peaceful & soothing atmosphere it is."
3557,sentiment,1,en-IN,Google,"Food quantity and quantity both are good and price is reasonable. 1 plate mutton pis egg, 1alu Chicken chap Like to try some other items in future.","Food quantity and quantity both are good and price is reasonable. <num> plate mutton pis egg, 1alu Chicken chap Like to try some other items in future."
3389,sentiment,0,en-IN,Google,Food is tasty but atmosphere is so croudy,Food is tasty but atmosphere is so croudy
3005,sentiment,1,en-IN,Google,"The place has a really nice interior. I had a fun chit chat with the staff, they also give very good suggestion for food order if you ca n't choose what to order. The food which we had was yum and specially their sweet lassi was so good. It's a bit pricey as compared to other place which serve the same type of food like Indian coffer house but the experience is worth going. You can visit the place with family and friends, it also serves tandoori items which are available after: pm and many other snacks for a quick note.","The place has a really nice interior. I had a fun chit chat with the staff, they also give very good suggestion for food order if you ca n't choose what to order. The food which we had was yum and specially their sweet lassi was so good. It's a bit pricey as compared to other place which serve the same type of food like Indian coffer house but the experience is worth going. You can visit the place with family and friends, it also serves tandoori items which are available after: pm and many other snacks for a quick note."
246,sentiment,1,en-AU,Google,"Tasty BBQ chicken and plenty of fresh salads served by friendly staff, eat in or take away.","Tasty BBQ chicken and plenty of fresh salads served by friendly staff, eat in or take away."
6217,sentiment,1,en-UK,Google,"Lovely restaurant with helpful and friendly staff who were more than happy to provide extra plates so we could share starters and amend main meals to fit around fussy eaters. Food was well presented and tasty, only downside was that the Salmon was under cooked and had to be sent back to be cooked further.","Lovely restaurant with helpful and friendly staff who were more than happy to provide extra plates so we could share starters and amend main meals to fit around fussy eaters. Food was well presented and tasty, only downside was that the Salmon was under cooked and had to be sent back to be cooked further."
3330,sentiment,0,en-IN,Google,"The place was well crowded, we had to wait for 15 minutes as we were there on 26th January for dinner. We enjoyed the lively ambiance. Being a busy day the service was slow. The kebabs starters served were not even warm. Though sigries were placed on the table but not so warm. Service was too slow. Every time we have to ask for starters. We requested kebabs but limited were served. The order for mocktails took too long to serve. We had to remind the server. The buffet spread was good with indian and Chinese only. No continental dishes. Indian mutton and Chinese dishes were awesome and very delicious. Salads were ok. Desserts Indian desserts were great but savories cakes were average only. Overall service was average 4 and food 6. Maybe we were probably there on a busy day. But they should be prepared for that.","The place was well crowded, we had to wait for <num> minutes as we were there on 26th January for dinner. We enjoyed the lively ambiance. Being a busy day the service was slow. The kebabs starters served were not even warm. Though sigries were placed on the table but not so warm. Service was too slow. Every time we have to ask for starters. We requested kebabs but limited were served. The order for mocktails took too long to serve. We had to remind the server. The buffet spread was good with indian and Chinese only. No continental dishes. Indian mutton and Chinese dishes were awesome and very delicious. Salads were ok. Desserts Indian desserts were great but savories cakes were average only. Overall service was average <num> and food <num>. Maybe we were probably there on a busy day. But they should be prepared for that."
21,sentiment,0,en-AU,Google,"Have n't been to AJ in a few years so popped in on our way home tonight. Was told 20 minutes, took 40. Got home and the amount of food was definitely not worth 96, we were missing a piece of fish and the piece we did get was smaller than my hand. Gravy was delicious though! Tried calling over 5 time about the missing fish and the line was either engaged or rang out.","Have n't been to AJ in a few years so popped in on our way home tonight. Was told <num> minutes, took <num>. Got home and the amount of food was definitely not worth <num>, we were missing a piece of fish and the piece we did get was smaller than my hand. Gravy was delicious though! Tried calling over <num> time about the missing fish and the line was either engaged or rang out."
937,sentiment,1,en-AU,Google,"To the new owner of this Wagga subway, congratulations, but please keep the staff, this is the best subway in Wagga for service and fast get in and out with your lunch, the others are so slow and only ever have 2 staff on.","To the new owner of this Wagga subway, congratulations, but please keep the staff, this is the best subway in Wagga for service and fast get in and out with your lunch, the others are so slow and only ever have <num> staff on."
7106,sentiment,1,en-UK,Google,"It seems like a small local museum, but much bigger inside. It tries to be everything that is important to local education, but I am not sure taxidermied animals are important in this internet user century. On the other hand, the archaeology, architecture, and thematic collections are great. The Joseph Wright room is fantastic, and the description around is great.","It seems like a small local museum, but much bigger inside. It tries to be everything that is important to local education, but I am not sure taxidermied animals are important in this internet user century. On the other hand, the archaeology, architecture, and thematic collections are great. The Joseph Wright room is fantastic, and the description around is great."
595,sentiment,0,en-AU,Google,Two times now delivery has been forgotten by the restaurant. Several phone calls to get it delivered and the food arrived to cold to eat. Hadd to micro wave it.,Two times now delivery has been forgotten by the restaurant. Several phone calls to get it delivered and the food arrived to cold to eat. Hadd to micro wave it.
6776,sentiment,1,en-UK,Google,"We had lunch here last week. Food and service were very much as we have come to expect from Wetherspoons. Excellent choice of menu, although ordering on the app can sometimes be "" clunky "". Tasty food, good value and prompt service.","We had lunch here last week. Food and service were very much as we have come to expect from Wetherspoons. Excellent choice of menu, although ordering on the app can sometimes be "" clunky "". Tasty food, good value and prompt service."
3782,sentiment,1,en-IN,Google,"Location is good in the heart of the city, taste is good. A good to go place","Location is good in the heart of the city, taste is good. A good to go place"
3710,sentiment,1,en-IN,Google,Pros Nice little restaurant. Pure vegetarian. Nice spicy food. Very reasonable price. Cons very slow service.,Pros Nice little restaurant. Pure vegetarian. Nice spicy food. Very reasonable price. Cons very slow service.
7544,sentiment,1,en-UK,Google,"A small but intimate atmospheric venue, that just reverberates with positive vibes, cool lighting. Due to the size of venue careful mixing by bands required to ensure vocals can be heard above the drums and other instruments. Friendly staff, well stocked bar. Lots of steps from the bar to music venue. Good toilet. Sticky floor makes it hard to dance on[ hence 4 stars]. Bar also inside the venue.","A small but intimate atmospheric venue, that just reverberates with positive vibes, cool lighting. Due to the size of venue careful mixing by bands required to ensure vocals can be heard above the drums and other instruments. Friendly staff, well stocked bar. Lots of steps from the bar to music venue. Good toilet. Sticky floor makes it hard to dance on[ hence <num> stars]. Bar also inside the venue."
2795,sentiment,1,en-IN,Google,Nice service.... do n't forget to eat sweet pan here it is so good,Nice service.... do n't forget to eat sweet pan here it is so good
3019,sentiment,0,en-IN,Google,Very disappointed with staff and their service Unable to take orders Got confused with multiple orders Recently opened and no drinking water available,Very disappointed with staff and their service Unable to take orders Got confused with multiple orders Recently opened and no drinking water available
3031,sentiment,1,en-IN,Google,"Really liked the creativity of the place, however I felt the grill chicken served was from the previous day and warmed in the microwave, this was a big turn off. However the service was efficient waiting time for food was very less and food kept coming as we finish each dish. That was impressive. We had the grill chicken, chilli prawns, garlic naan and mutton Mandi.","Really liked the creativity of the place, however I felt the grill chicken served was from the previous day and warmed in the microwave, this was a big turn off. However the service was efficient waiting time for food was very less and food kept coming as we finish each dish. That was impressive. We had the grill chicken, chilli prawns, garlic naan and mutton Mandi."
6221,sentiment,0,en-UK,Google,"My family and I go to this Wetherspoon pub regularly, usually a couple times a week. Consistently the measure of the pints( so called) have been reduced week on week; today, every single one of our five pints were centimetres below a full measure. Having garnered the attention of a staff member, after chasing up a meal which was not sent out, I informed them of the situation. This was not met with understanding, nor apology for the consistent error: just "" ask for a top up when they bring it out "". I had accepted the laconic measure and only wanted the issue noted and passed on to the requisite bar staff, to avoid such poor practice in future. Henceforth, I will always correct the staff on first receipt of the pint; I will not consider it a momentary lapse due to human error.","My family and I go to this Wetherspoon pub regularly, usually a couple times a week. Consistently the measure of the pints( so called) have been reduced week on week; today, every single one of our five pints were centimetres below a full measure. Having garnered the attention of a staff member, after chasing up a meal which was not sent out, I informed them of the situation. This was not met with understanding, nor apology for the consistent error: just "" ask for a top up when they bring it out "". I had accepted the laconic measure and only wanted the issue noted and passed on to the requisite bar staff, to avoid such poor practice in future. Henceforth, I will always correct the staff on first receipt of the pint; I will not consider it a momentary lapse due to human error."
6928,sentiment,0,en-UK,Google,"Wish I'd read some of the reviews before booking Dune 2 in IMAX. Having never experienced a movie in 70 mm before I thought this was the perfect occasion. The booking system made it seem like it was a huge theatre with an equally big screen, and booking seats further back would n't be that big of an issue. Boy was I wrong. Half the time I was n't sure this was the highly sought after IMAX. 7 tickets at a normal Vue would been better. Also, it's a very echoey room ? Could hear half the theatre munching.","Wish I'd read some of the reviews before booking Dune <num> in IMAX. Having never experienced a movie in <num> mm before I thought this was the perfect occasion. The booking system made it seem like it was a huge theatre with an equally big screen, and booking seats further back would n't be that big of an issue. Boy was I wrong. Half the time I was n't sure this was the highly sought after IMAX. <num> tickets at a normal Vue would been better. Also, it's a very echoey room ? Could hear half the theatre munching."
3152,sentiment,0,en-IN,Google,Hakka Noodles was tasty. Mojito was fabulous. Chicken pakora and chill chicken was less marinated. Last but not the list the fish finger was very bad. The stuffing of fish was not cooked properly.,Hakka Noodles was tasty. Mojito was fabulous. Chicken pakora and chill chicken was less marinated. Last but not the list the fish finger was very bad. The stuffing of fish was not cooked properly.
3743,sentiment,1,en-IN,Google,Food taste is nice and it will be sufficient for 1 person only but but prices are also less. Nice budget friendly hotel. But sometimes we need to wait for 15-20 min for food because of more number of people.,Food taste is nice and it will be sufficient for <num> person only but but prices are also less. Nice budget friendly hotel. But sometimes we need to wait for <num>-<num> min for food because of more number of people.
827,sentiment,1,en-AU,Google,Had a nice time at the village. Staff were friendly and prompt with service. Only took a few minutes for drinks to arrive. Also got an aai bowl and that was delicious. Overall a really great experience. Only thing was a little bit pricey otherwise a great experience.,Had a nice time at the village. Staff were friendly and prompt with service. Only took a few minutes for drinks to arrive. Also got an aai bowl and that was delicious. Overall a really great experience. Only thing was a little bit pricey otherwise a great experience.
3723,sentiment,0,en-IN,Google,Very busy outlet. Things are fresh. Had a Mango Mousse and Chocolate Truffle Pastry. Note: is failing due to overcrowding.,Very busy outlet. Things are fresh. Had a Mango Mousse and Chocolate Truffle Pastry. Note: is failing due to overcrowding.
492,sentiment,1,en-AU,Google,"Did n't stay at any accommodation. Went there for a Mothers Day meal. Very quick service for meals, even though the Bistro was packed. Not sure if the Bar staff were keen to be very disinterested. Overall we had a great lunch.","Did n't stay at any accommodation. Went there for a Mothers Day meal. Very quick service for meals, even though the Bistro was packed. Not sure if the Bar staff were keen to be very disinterested. Overall we had a great lunch."
715,sentiment,0,en-AU,Google,"I visited this coffee shop recently and had a mixed experience. The coffee was ok, which I appreciated but nothing special. I found the food to be expensive considering its quality. Additionally, the staff attitude was surprisingly rude, which was quite off-putting. One peculiar thing I noticed was that, despite dining in, we were given takeaway cups, while other customers received mugs. This inconsistency in service was a bit confusing. Not a great first impression given all the five star ratings. We got a different deal to all those people.","I visited this coffee shop recently and had a mixed experience. The coffee was ok, which I appreciated but nothing special. I found the food to be expensive considering its quality. Additionally, the staff attitude was surprisingly rude, which was quite off-putting. One peculiar thing I noticed was that, despite dining in, we were given takeaway cups, while other customers received mugs. This inconsistency in service was a bit confusing. Not a great first impression given all the five star ratings. We got a different deal to all those people."
4091,sentiment,1,en-IN,Google,"Chicken mamna, the best. Take your booze and just arrive there","Chicken mamna, the best. Take your booze and just arrive there"
7607,sentiment,1,en-UK,Google,"Went to the place with two of my friends. We really liked the vibe.... Spent some time having snacks, chatting, enjoying the view...","Went to the place with two of my friends. We really liked the vibe.... Spent some time having snacks, chatting, enjoying the view..."
377,sentiment,1,en-AU,Google,dropped in here on the way through to Orange recently. a cold and foggy drive over the mountain. but was greeted by a warm and friendly pub just off the main road in Bathurst. it was a thursday night so the place was n't humming with people. but the service was great. and the food even better. i am an absolute lover of country pubs in particular the food. and the Family Hotel did nt disappoint. my wife ordered the curry.( no pictures. sorry) and I took advantage of the bangers and mash. a couple of points here. the sausages were clearly made at a butchers or in house. no mass production here. juicy. meaty. not much more to ask for. but there was more. the gravy on point. and as a nice little touch that you barely see in the city. mashed peas to compliment the mashed potatoes. a welcome addition. and one i want to see more of in the city. overall. happy we stopped here. could have strapped in and watched the footy. but the drive ahead still needed to be completed. well done Family Hotel Bathurst. will recommend. and will try to stop by again next time we are over the mountain.,dropped in here on the way through to Orange recently. a cold and foggy drive over the mountain. but was greeted by a warm and friendly pub just off the main road in Bathurst. it was a thursday night so the place was n't humming with people. but the service was great. and the food even better. i am an absolute lover of country pubs in particular the food. and the Family Hotel did nt disappoint. my wife ordered the curry.( no pictures. sorry) and I took advantage of the bangers and mash. a couple of points here. the sausages were clearly made at a butchers or in house. no mass production here. juicy. meaty. not much more to ask for. but there was more. the gravy on point. and as a nice little touch that you barely see in the city. mashed peas to compliment the mashed potatoes. a welcome addition. and one i want to see more of in the city. overall. happy we stopped here. could have strapped in and watched the footy. but the drive ahead still needed to be completed. well done Family Hotel Bathurst. will recommend. and will try to stop by again next time we are over the mountain.
4117,sentiment,1,en-IN,Google,"Mutton kheema quality awesome please must try mouth watering food, chapati is not good its hard form am not happy with chapati third class quality chapati","Mutton kheema quality awesome please must try mouth watering food, chapati is not good its hard form am not happy with chapati third class quality chapati"
6700,sentiment,0,en-UK,Google,"We either go into Nero or Esquires alot, but this time we choose nero as I had to complimentary vouchers from them for the poor service previously, my partners drink was nice but I do n't drink hot drinks so I ordered a milkshake the staff menu was a bit frustrated but I said to them if it's on the menu I'm allowed to order it so they said yeah and when it came it was warm no ice in it at all it was not tasty at all.","We either go into Nero or Esquires alot, but this time we choose nero as I had to complimentary vouchers from them for the poor service previously, my partners drink was nice but I do n't drink hot drinks so I ordered a milkshake the staff menu was a bit frustrated but I said to them if it's on the menu I'm allowed to order it so they said yeah and when it came it was warm no ice in it at all it was not tasty at all."
3242,sentiment,1,en-IN,Google,I had the best chilli potato of my life at this place Manchurian was okayish can be better Paneer dosa was very tasty perfectly spiced up and cooked Sandwiches and pizza are also scrumptious,I had the best chilli potato of my life at this place Manchurian was okayish can be better Paneer dosa was very tasty perfectly spiced up and cooked Sandwiches and pizza are also scrumptious
7523,sentiment,1,en-UK,Google,"The food was amazing! The flavors blended nicely and they were good sized portions. The Kingston chicken was impeccable with a crunchy outer layer, yet moist and well cooked inside. It was well seasoned and we would order it again for sure. We also recommend the jerk wings, very flavorful and the jerk sauce complimented them nicely. The last thing we had was the shrimp and potato curry with rice. It was rich and flavorful, not too heavy at all, and well garnished The only downside was that our service was not good as they never came to check on us unless we waved somebody down, which even that took awhile. Other than that, the food was amazing!","The food was amazing! The flavors blended nicely and they were good sized portions. The Kingston chicken was impeccable with a crunchy outer layer, yet moist and well cooked inside. It was well seasoned and we would order it again for sure. We also recommend the jerk wings, very flavorful and the jerk sauce complimented them nicely. The last thing we had was the shrimp and potato curry with rice. It was rich and flavorful, not too heavy at all, and well garnished The only downside was that our service was not good as they never came to check on us unless we waved somebody down, which even that took awhile. Other than that, the food was amazing!"
7306,sentiment,1,en-UK,Google,"Had a works Christmas do here, the place was busy Friday evening. We waited to be seated, upstairs down stairs the bar was heaving every table was full. When we went upstairs they put on very large table next to the stage, the band was great got up cheering, singing, and dancing. The Sazzaphone player was good add on to the band to. The food was great the service was just bit to long but considering how busy it was understandable.","Had a works Christmas do here, the place was busy Friday evening. We waited to be seated, upstairs down stairs the bar was heaving every table was full. When we went upstairs they put on very large table next to the stage, the band was great got up cheering, singing, and dancing. The Sazzaphone player was good add on to the band to. The food was great the service was just bit to long but considering how busy it was understandable."
276,sentiment,0,en-AU,Google,"Took 25mins to get through a line of 10 people waiting for the movie. Lights came on in the cinema 10mins before the movie finished. Not impressed given it was 62 for 2 drinks, a medium popcorn and 2 tickets.","Took 25mins to get through a line of <num> people waiting for the movie. Lights came on in the cinema 10mins before the movie finished. Not impressed given it was <num> for <num> drinks, a medium popcorn and <num> tickets."
466,sentiment,1,en-AU,Google,"After months of ordering pizza in Sunbury i decided that this place was it. I ordered a family Mario special for delivery. It was very good. The amount and the balance of the toppings were spot on. and the crust actually had some flavour. Good job, will definitely order from here again. I just wish they had italian sausage for offer on their range..","After months of ordering pizza in Sunbury i decided that this place was it. I ordered a family Mario special for delivery. It was very good. The amount and the balance of the toppings were spot on. and the crust actually had some flavour. Good job, will definitely order from here again. I just wish they had italian sausage for offer on their range.."
692,sentiment,1,en-AU,Google,Great pizza! Lots of topping including decent amount of cheese. Disappointed we could n't eat in but takeaway service was fine. Shame there's no delivery options. I am visiting from Perth and have no idea what other dining out options Benalla has to offer but I would definitely return for more pizzas.,Great pizza! Lots of topping including decent amount of cheese. Disappointed we could n't eat in but takeaway service was fine. Shame there's no delivery options. I am visiting from Perth and have no idea what other dining out options Benalla has to offer but I would definitely return for more pizzas.
6991,sentiment,1,en-UK,Google,This is one of the four out of the five Spoons in the city centre in to 2024 Good Beer Guide. Only a limited choice of cask ale on today but the ale I tried was fresh on and a pleasure to drink. There not the splendour as of some of the other nearby Spoons but it has a good central location.,This is one of the four out of the five Spoons in the city centre in to <num> Good Beer Guide. Only a limited choice of cask ale on today but the ale I tried was fresh on and a pleasure to drink. There not the splendour as of some of the other nearby Spoons but it has a good central location.
3687,sentiment,1,en-IN,Google,The food was average and we went another time there and that day the food was great. So we ca n't say the exact taste of food here apart that ambiance was good service was good price was affordable,The food was average and we went another time there and that day the food was great. So we ca n't say the exact taste of food here apart that ambiance was good service was good price was affordable
25,sentiment,1,en-AU,Google,"The last time I went here was when I was on holiday in 2016. 8years later I returned yesterday as a resident of Perth. The place has n't changed in that time, in terms of decor and food. Had plenty of tables inside, outside, upstairs, downstairs, with tables on the balconies overlooking the harbour and boardwalk. A menagerie of people frequent the place, so you'll see a diverse group of people. Inside has a rustic charm and when we walked in, the queue behind me, continued outside. In saying that, the queue dropped very quickly and our food came in a timely manner. For those that do n't like seafood, there are other options. Drink options are non-alcoholic or alcoholic depending on your preference. Suggest you grab the menu while you're in the queue and if you're with a group find a table and take menus with you, decide what you want then go order. If you want your food done a certain way, let them know, they're very accommodating and You wo n't be disappointed.","The last time I went here was when I was on holiday in <num>. 8years later I returned yesterday as a resident of Perth. The place has n't changed in that time, in terms of decor and food. Had plenty of tables inside, outside, upstairs, downstairs, with tables on the balconies overlooking the harbour and boardwalk. A menagerie of people frequent the place, so you'll see a diverse group of people. Inside has a rustic charm and when we walked in, the queue behind me, continued outside. In saying that, the queue dropped very quickly and our food came in a timely manner. For those that do n't like seafood, there are other options. Drink options are non-alcoholic or alcoholic depending on your preference. Suggest you grab the menu while you're in the queue and if you're with a group find a table and take menus with you, decide what you want then go order. If you want your food done a certain way, let them know, they're very accommodating and You wo n't be disappointed."
7787,sentiment,0,en-UK,Google,"Came for a Sunday roast with a few people. Was very excited cause in the past I always raved of how good this place is for roasts. Have to admit the roasted leg of lamb was underwhelming, the broccoli tasted a little overdone and have no flavour. We was all underwhelmed. Hope it does improve again.","Came for a Sunday roast with a few people. Was very excited cause in the past I always raved of how good this place is for roasts. Have to admit the roasted leg of lamb was underwhelming, the broccoli tasted a little overdone and have no flavour. We was all underwhelmed. Hope it does improve again."
3140,sentiment,1,en-IN,Google,"Great place to hangout with friends. The best thing about this place is its ambience. You can eat while enjoying the riverview, you also get an option to dine inside the restaurant. Food is also good at a reasonable price. The only thing I did n't like was the service, overall it is good..","Great place to hangout with friends. The best thing about this place is its ambience. You can eat while enjoying the riverview, you also get an option to dine inside the restaurant. Food is also good at a reasonable price. The only thing I did n't like was the service, overall it is good.."
908,sentiment,1,en-AU,Google,I attended this hotel for a football reunion. I ordered a hamburger for lunch and found it very tasty. Drinks are of hotel prices. The hotel has views across the road of wickham park. Overall a good venue to have a beer and lunch.,I attended this hotel for a football reunion. I ordered a hamburger for lunch and found it very tasty. Drinks are of hotel prices. The hotel has views across the road of wickham park. Overall a good venue to have a beer and lunch.
3094,sentiment,0,en-IN,Google,"Good place to have north Karnataka. Near to hubli bus stand.( Jolada roti meals costs) served with 2 roti and unlimited rice, 3 tyes unlimited curry, curd, pickle, salad. They charge extra per roti. food is excellent very taste, hygiene. But The food is not worth of money which we pay.","Good place to have north Karnataka. Near to hubli bus stand.( Jolada roti meals costs) served with <num> roti and unlimited rice, <num> tyes unlimited curry, curd, pickle, salad. They charge extra per roti. food is excellent very taste, hygiene. But The food is not worth of money which we pay."
6291,sentiment,1,en-UK,Google,What a blast is this Cafe! Great atmosphere and very good service. Great coffee and a brilliant breakfast. My beans were cold but everything else was delicious.,What a blast is this Cafe! Great atmosphere and very good service. Great coffee and a brilliant breakfast. My beans were cold but everything else was delicious.
443,sentiment,1,en-AU,Google,"A cute little store just near Brisbane CBD. They mostly make Asian style cakes and drinks. The experience I had here was quite good. The girl who served me was very patient with me and walked me through the different cakes. She was n't overly knowledgeable about the flavours, but helpful enough. She helped to package the cakes nicely! The store itself is small and probably ca n't fit too many people, but it has a very cute and homely vibe to it. The cakes are very cute and pretty and I believe most are designed to be not too heavy or sweet! I recommend it:","A cute little store just near Brisbane CBD. They mostly make Asian style cakes and drinks. The experience I had here was quite good. The girl who served me was very patient with me and walked me through the different cakes. She was n't overly knowledgeable about the flavours, but helpful enough. She helped to package the cakes nicely! The store itself is small and probably ca n't fit too many people, but it has a very cute and homely vibe to it. The cakes are very cute and pretty and I believe most are designed to be not too heavy or sweet! I recommend it:"
362,sentiment,1,en-AU,Google,Decent banh mi rolls. Tiger bread also option. Asked for no butter However still got butter. Chicken was favourful and nice.,Decent banh mi rolls. Tiger bread also option. Asked for no butter However still got butter. Chicken was favourful and nice.
